 ,HOSPITAL GROUP,ADDRESS,CITY,STATE,Capacity,REMARK,NO. TELEPHONE,Website,Doctor Directory,Beds,Baby Cots,BedsBaby Cots,Bassinets,Dialysis Chairs,Dental Chairs,ArmChairs,Phototherapy Cots,Mobile Dialysis Device,BedsDialisis,Beds BloodDonor,MonoplaceHyperbaric Chamber, Baby CotsFototerapi
Hospital Wanita Metro (Klang),0,"No. 32 - 38, Jalan Pasar,41400 Klang, Selangor.",Klang,SELANGOR,"17 Beds, 4 Bassinets",-,-,-,-,17,0,0,4,0,0,0,0,0,0,0,0,0
Klinik Pakar Wanita Dan Keluarga Kapar Indah,0,"2, Jalan Harapan 3, Sungai Kapar Indah, 42200 Klang, Selangor",Klang,SELANGOR,2 Beds/2 Bassinets,Single discipline: O&G,-,-,-,2,0,0,2,0,0,0,0,0,0,0,0,0
Klinik Pakar Wanita Sheela Sdn. Bhd.,0,"No 36, 38 & 40, Jalan BataiLaut 3, Kawasan 16, TamanIntan, 41300 Klang, Selangor",Klang,SELANGOR,10 Beds/6 Bassinets,Single discipline: O&G,-,-,-,10,0,0,6,0,0,0,0,0,0,0,0,0
Pusat Perubatan Pakar Sri Kota,0,"Jalan Mohet, 41000 Klang, Selangor",Klang,SELANGOR,"162 Beds, 8 Bassinets, 2 Baby Cots, 20Dialysis Chairs, 6ArmChairs, 1Mobile Dialysis Device",Single discipline: O&G,-,-,-,162,2,0,8,20,0,6,0,1,0,0,0,0
Metro Maternity Kuala Selangor,0,"No.33, 35, 37 & 39, Jalan Rhu 1, Taman Rhu, Off Jalan Kelang, 45000 Kuala Selangor, Selangor",Kuala Selangor,SELANGOR,4 Beds/4 Bassinets,-,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
Assunta Hospital,0,"Jalan Templer, 46990 Petaling Jaya, Selangor",Petaling Jaya,SELANGOR,"245 Beds, 5 Baby Cots, 8 Bassinets,18 Dialysis Chairs,4 ArmChairs",-,03-77807000,https://www.assunta.com.my/,https://www.assunta.com.my/doctor-listings/,245,5,0,8,18,0,4,0,0,0,0,0,0
Beacon Hospital,0,"1, Jalan 215, Seksyen 51, Off Jalan Templer, 46050 Petaling Jaya, Selangor",Petaling Jaya,SELANGOR,"101 Beds, 7 ArmChairs",-,03-76207979,https://www.beaconhospital.com.my/,https://www.beaconhospital.com.my/find-a-doctor/,101,0,0,0,0,0,7,0,0,0,0,0,0
Hospital MataNasional Tun Hussein Onn (The Tun Hussein Onn National Eye Hospital),0,"Lot 2, Lorong Utara B, 46200 Petaling Jaya, Selangor",Petaling Jaya,SELANGOR,30 Beds/8 ArmChairs,Single discipline: Oftalmologi,-,-,-,30,0,0,0,0,0,8,0,0,0,0,0,0
Pusat Perubatan Damansara Damai,0,"Tingkat Bawah, Blok B 002- 005, Jalan PJU 10/2A, PJU10, Damansara Damai,47830 Petaling Jaya, Selangor",Petaling Jaya,SELANGOR,4 Beds/4 Bassinets,Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
Regen Health Rehabilitation Hospital,0,"No. 9, Jalan 13/4, 46200 Petaling Jaya, Selangor Darul Ehsan",Petaling Jaya,SELANGOR,38 Beds,-,-,-,-,38,0,0,0,0,0,0,0,0,0,0,0,0
KPMC Puchong Specialist Centre,0,"No. 1 & 3, Jalan Puteri 2/1, Bandar Puteri Puchong, 47100 Puchong, Selangor",Puchong,SELANGOR,"23 Beds, 5 Bassinets",-,-,-,-,23,0,0,5,0,0,0,0,0,0,0,0,0
Ara Damansara Medical Centre,RSD,"2, Jalan Lapangan Terbang, Seksyen U2, 40150 Shah Alam, Selangor",Shah Alam,SELANGOR,"117 Beds, 6 Dialysis Chairs",-,03-56391212,https://aradamansaramedicalcentre.com/,https://aradamansaramedicalcentre.com/find-doctor,117,0,0,0,6,0,0,0,0,0,0,0,0
Avisena Women's & Children's Specialist Hospital,0,"No. 3 (Pt34), Presint 2.7,Seksyen 14, 40000 Shah Alam, Selangor",Shah Alam,SELANGOR,"130 Beds, 7 Baby Cots,15 Bassinets, 2 Dental Chairs",-,-,-,-,130,7,0,15,0,2,0,0,0,0,0,0,0
Hospital Umra,0,"Tingkat 1 & 2, No. 14, 16, & 18, Jalan Bola Tampar 13/14, Seksyen 13, 40100 Shah Alam, Selangor",Shah Alam,SELANGOR,"35 Beds, 7 Baby Cots, 8 Bassinets",-,-,-,-,35,7,0,8,0,0,0,0,0,0,0,0,0
MSU Medical Centre,0,"No. 4 (Pt No. 1108)Persiaran Olahraga, 40100 Shah Alam, Selangor",Shah Alam,SELANGOR,"108 Beds, 10 Bassinets, 3 Baby Cots, 2 Dental Chairs, 1 ArmChairs,2 MonoplaceHyperbaric Chamber",-,-,-,-,108,3,0,10,0,2,1,0,0,0,0,2,0
Sunway Medical Centre,SunMed,"5, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang Jaya, Selangor",Subang Jaya,SELANGOR,"616 Beds, 7 BedsDialisis, 52 Dialysis Chairs, 18 Baby Cots, 6 Baby CotsFototerapi, 1 Mobile Dialysis Device, 52ArmChairs, 4 Dental Chairs, 47 Bassinets",-,03-74919191,https://www.sunwaymedical.com/en/,https://www.sunwaymedical.com/en/find-a-doctor,616,18,0,47,52,4,52,0,1,7,0,0,6
Subang Jaya Medical Centre,RSD,"No 1, Jalan Ss 12/1a, 47500 Subang Jaya, Selangor",Subang Jaya,SELANGOR,444 Beds / 19 ArmChairs / 40 Bassinets / 10 Baby Cots / 18 Dialysis Chairs,-,03-56391212,https://subangjayamedicalcentre.com/,https://subangjayamedicalcentre.com/find-doctor,444,10,0,40,18,0,19,0,0,0,0,0,0
Putra Medical Centre,0,"43, 43A, 45, 45A, 47, 47A,Jalan BRP 1/3, Bukit Rahman Putra, 47000 Sungai Buloh, SelangorDarul Ehsan",Sungai Buloh,SELANGOR,"13 Beds, 6 Bassinets",-,04-7342888,https://putramedicentre.com.my/ver_2/,https://putramedicentre.com.my/ver_2/doctors.html,13,0,0,6,0,0,0,0,0,0,0,0,0
UiTM Private Specialist Centre,0,"Level 2, 4 & 5, Bangunan Pengajian Klinikal, Fakulti Perubatan UITM, Kampus Sg. Buloh, Jalan Hospital, 47000 Sungai Buloh, Selangor",Sungai Buloh,SELANGOR,30 Beds,-,-,-,-,30,0,0,0,0,0,0,0,0,0,0,0,0
Salam Shah Alam Specialist Hospital,0,"2-14, Jalan Nelayan 19/B Seksyen 19 40300 Shah Alam Selangor",-,SELANGOR,"82 Beds, 3 Bassinets, 2 Baby Cots",-,-,-,-,82,2,0,3,0,0,0,0,0,0,0,0,0
Hospital Pakar Bersalin Dan Sakit Puan(Ganesan Medical Centre Sdn Bhd),0,"No 3, Jalan Bandar Rawang 5, Bandar Baru Rawang, 48000 Rawang Selangor",Bandar Baru Rawang,SELANGOR,4 Beds/4 Bassinets,Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
An-Nur Specialist Hospital,0,"23C, Jalan Medan Pb 1, Seksyen 9, 43650 Bangi, Selangor",Bangi,SELANGOR,-,,03-89266060,http://annurspecialisthospital.migh.com.my/,https://annurspecialisthospital.migh.com.my/medical-departments-our-specialist.html,0,0,0,0,0,0,0,0,0,0,0,0,0
Az-Zahrah Islamic Medical Centre,0,"34, Jalan Medan Pb 1, Seksyen 9, 43650 Bandar Baru Bangi, Selangor",Bangi,SELANGOR,-,,03-89212525,https://azzahrah.my/,https://azzahrah.my/pakar-perbidanan-sakit-puan/,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Wanita Metro (Banting),0,"No. 22-26, Jalan Emas 1 Bandar Sungai Emas Sungai Manggis42700 Banting, Selangor",Banting,SELANGOR,4 Beds/4 Bassinets,Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
Sungai Long Specialist Hospital,0,"Pt 21147, Persiaran SL 1, Bandar Sungai Long, 43200 Kajang, Selangor",Kajang,SELANGOR,-,,03-90103788,https://www.sglonghospital.com/en/,https://www.sglonghospital.com/en/doctors-directory,0,0,0,0,0,0,0,0,0,0,0,0,0
Kajang Plaza Medical Centre,0,"No. 35, 36, 33b, 34b, 35b,36b Dan 36c, Jalan Dato' Seri Alagendra 2, Kajang Plaza, 43000 Kajang Selangor",Kajang Plaza,SELANGOR,30 Beds/12 Bassinets,-,-,-,-,30,0,0,12,0,0,0,0,0,0,0,0,0
Arunamari Specialist Medical Centre,0,"162A, Jalan Batu Unjur 1, Taman Bayu Perdana, 41200 Klang, Selangor",Klang,SELANGOR,-,,03-33243288,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Wanita Metro,0,"36, Jalan Pasar, Kawasan 18, 41400 Klang, Selangor",Klang,SELANGOR,-,,03-33412277,https://www.hospitalwanitametro.com/,https://www.hospitalwanitametro.com/meet-the-team,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Kota Specialist Medical Centre (SKSMC),0,"Jalan Mohet, Kawasan 1, 41000 Klang, Selangor",Klang,SELANGOR,-,,03-33733636,https://www.srikotamedical.com/,https://www.srikotamedical.com/find-a-doctor/,0,0,0,0,0,0,0,0,0,0,0,0,0
Ko Specialist Medical Centre,0,"6 Ã¢â‚¬â€œ 12, Tingkat Bawah, Jalan Temoh, Off Jalan Goh Hock Huat, 41400, Klang, Selangor",Klang,SELANGOR,6 Beds,-,-,-,-,6,0,0,0,0,0,0,0,0,0,0,0,0
Thomson Hospital Kota Damansara,0,"Lot 11, Jalan Teknologi, Taman Sains Selangor 1, Kota Damansara 47810 Petaling Jaya, Selangor",Kota Damansara Petaling Jaya,SELANGOR,"308 Beds, 19 Baby Cots,4 Bassinets, 10Dialysis Chairs, 1 Mobile Dialysis Device",-,03-62871111,https://thomsonhospitals.com/,https://thomsonhospitals.com/find-a-doctor/,308,19,0,4,10,0,0,0,1,0,0,0,0
QHC Medical Centre,0,"No 2, Jalan USJ 9/5R 47620UEP Subang Jaya Selangor",No,SELANGOR,10 Beds/4 Bassinets,-,-,-,-,10,0,0,4,0,0,0,0,0,0,0,0,0
Alpha Fertility Centre,0,"G01, Ground Floor, Encorp Strand Mall, Jalan PJU 5/22, Kota Damansara, 47810 Petaling Jaya, Selangor",Petaling Jaya,SELANGOR,-,,03-61416166,https://www.alphafertilitycentre.com/,https://www.alphafertilitycentre.com/our-team,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpha Specialist Centre,0,"25, Jalan PJU 5/6, Kota Damansara, 47810 Petaling Jaya, Selangor",Petaling Jaya,SELANGOR,-,,03-61418533,https://alphaspecialist.com/,https://alphaspecialist.com/our-medical-specialist/,0,0,0,0,0,0,0,0,0,0,0,0,0
Centre For Sight (PJ),0,"1, 1, Jalan SS 23/15, Taman Sea, 47400 Petaling Jaya, Selangor",Petaling Jaya,SELANGOR,-,,03-78044051,https://kpjsight.com.my/,-,0,0,0,0,0,0,0,0,0,0,0,0,0
KMI Kelana Jaya Medical Centre,KMI,"No. 1 Fas Business Avenue, Jalan Perbandaran Ss7, 47301 Kelana Jaya, Petaling Jaya, Selangor",Petaling Jaya,SELANGOR,"43 Beds, 3 Bassinets, 2 Baby Cots",-,03-78052111,https://kmihealthcare.com/en/kmikelanajaya,https://kmihealthcare.com/en/kmikelanajaya/doctors,43,2,0,3,0,0,0,0,0,0,0,0,0
Hospital Bersalin & Poliklinik Pusrawi Pusrawi Corporation Sdn. Bhd. KotaDamansara,0,"No. 22, Tingkat Bawah & Tingkat 1, Jalan Pekaka 8/3, Seksyen 8, KotaDamansara 47810 Petaling Jaya, Selangor",Petaling Jaya,SELANGOR,8 Beds/5 Bassinets,Single discipline: O&G,-,-,-,8,0,0,5,0,0,0,0,0,0,0,0,0
KPMC Puchong Specialist Center,0,"Lebuh Puteri, Bandar Puteri, 47100 Puchong, Selangor",Puchong,SELANGOR,-,,03-80648688,http://www.kpmcpuchong.com.my/,http://www.kpmcpuchong.com.my/index.php/our-team/22-our-doctors,0,0,0,0,0,0,0,0,0,0,0,0,0
Klinik Pakar Wanita Dan Bersalin Subang Permai,0,"No 19, Jalan Alfa Fu6/F, Pusat Perdagangan Subang Permai Seksyen U6, 40150 Shah Alam Selangor",Pusat Perdagangan Subang Permai Seksyen U,SELANGOR,6 Beds/3 Bassinets,Single discipline: O&G,-,-,-,6,0,0,3,0,0,0,0,0,0,0,0,0
Pusat PakarOrtopedik OSC Orthopaedic Specialist Centre,0,"G-1-1 TO G-6-1 DAMEN USJ SIGNATURE OFFICES PERSIARAN KEWAJIPAN, USJ 1, 47600SUBANG JAYA, Selangor",SUBANG JAYA,SELANGOR,9 Beds,Single discipline: Ortopedik,-,-,-,9,0,0,0,0,0,0,0,0,0,0,0,0
AVISENA Specialist Hospital,AVISENA,"4, Jalan Ikhtisas, Seksyen 14, 40000 Shah Alam, Selangor",Shah Alam,SELANGOR,114 Beds,-,03-55151888,https://avisena.com.my/,https://shahalam.avisena.com.my/,114,0,0,0,0,0,0,0,0,0,0,0,0
SALAM Shah Alam Specialist Hospital,0,"2, Jalan Nelayan 19/B, Seksyen 19, 40300 Shah Alam, Selangor",Shah Alam,SELANGOR,-,,03-55485161,https://www.salamshahalam.com/,https://docs.google.com/gview?embedded=true&url=https://pagevamp-uploads.s3.amazonaws.com/383854785006278/pdfs/1641196265-our-doctors.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0
QHC Medical Center,0,"No 2, Jalan USJ 9/5r, Usj 2, 47620 Subang Jaya, Selangor",Subang Jaya,SELANGOR,-,,03-80245760,https://www.qhcmedical.com/,https://www.qhcmedical.com/TeamList.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Wanita Dan Kanak-Kanak Andorra Women & Children Hospital,0,"No 19, Jalan Utama Suria Tropika 1,Taman Suria Tropika, 43300 Seri Kembangan Selangor Darul Ehsan",Taman Suria Tropika,SELANGOR,"34 Beds, 4 Bassinets, 1 Baby Cots",-,-,-,-,34,1,0,4,0,0,0,0,0,0,0,0,0
"Salam Specialist Hospital, Kuala Terengganu",0,"Bangunan Wisma Perkaya, Lot 4078-4083 & Lot 4116-4118, Jalan Batas Baru, 20300 Kuala Terengganu, Terengganu",Kuala Terengganu,TERENGGANU,"49 Beds, 4 Bassinets",-,-,-,-,49,0,0,4,0,0,0,0,0,0,0,0,0
SALAM Specialist Hospital Kuala Terengganu,0,"Lot 4075, Jalan Engku Sar, 20300 Kuala Terengganu, Terengganu",Kuala Terengganu,TERENGGANU,-,,09-6313166,https://www.salamkualaterengganu.com/,https://www.salamkualaterengganu.com/our-consultants,0,0,0,0,0,0,0,0,0,0,0,0,0
KMI Kuala Terengganu Specialist Hospital,KMI,"Lot 3963, Jalan Sultan Mahmud, 20400 Kuala Terengganu, Terengganu",Kuala Terengganu,TERENGGANU,"80 Beds, 4 Baby Cots, 4 Bassinets",-,09-6378888,https://kmihealthcare.com/en/kmikualaterengganu,https://kmihealthcare.com/en/kmikualaterengganu/doctors,80,4,0,4,0,0,0,0,0,0,0,0,0
Cheras Specialist Maternity Centre,0,"55, Jalan 2/90 Taman Pertama, 56100 Cheras, Kuala Lumpur",Cheras,WP Kuala Lumpur,4 Beds / 4 Bassinets,Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
Daehan Rehabilitation Centre At IOI Resort City,0,"Block B, Two Ioi Square, IOI Resort, 62502 Putrajaya, Wilayah Persekutuan Putrajaya",Putrajaya,WP Kuala Lumpur,109 Beds,Single discipline: Perubatan Rehabilitasi,-,-,-,109,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Azalea Putrajaya,0,"B1-Lg-2, B1-Lg-3, B1-G-2,B1-G-3, B1-1-2 & B1-1-3,Ayer@8, Jalan P8g, Presint 8, 62250 Putrajaya, Wilayah Persekutuan Putrajaya",Putrajaya,WP Kuala Lumpur,"4 Beds, 5 Bassinets",-,-,-,-,4,0,0,5,0,0,0,0,0,0,0,0,0
Pusat Pakar UKM,0,"Tingkat 7, Blok Klinikal & Tingkat Bawah Dan Tingkat 1, Blok Gamma Knife, Pusat Perubatan UKM, Jalan Yaacob Latif, Bandar TunRazak, 56000 Kuala Lumpur",Bandar TunRazak,WP Kuala Lumpur,"62 Beds, 6 ArmChairs,5 Bassinets",-,-,-,-,62,0,0,5,0,0,6,0,0,0,0,0,0
Cengild G.I. Medical Centre,0,"Unit 2-3 & 4, Level 2, Nexus @ Bangsar South, No 7, Jalan Kerinchi, 59200 Kuala Lumpur",Bangsar,WP Kuala Lumpur,-,,03-22427000,https://cengild.com/,https://cengild.com/doctors/,0,0,0,0,0,0,0,0,0,0,0,0,0
Imran ENT Specialist Hospital,0,"62, Jalan Ang Seng, Brickfields, 50470, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Brickfields,WP Kuala Lumpur,-,,03-22740599,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Pakar Damansara 2,0,"No .1 Jalan Bukit Lanjan 3, Bukit Lanjan, 60000 Kuala Lumpur",Bukit Lanjan,WP Kuala Lumpur,"63 Beds, 3 Baby Cots, 4 Bassinets",-,-,-,-,63,3,0,4,0,0,0,0,0,0,0,0,0
UKM Specialist Centre (UKMSC),0,"Jalan Yaacob Latif Level 7 HCTM UKM, Bandar Tun Razak, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Cheras,WP Kuala Lumpur,-,,03-91726064,https://www.ukmsc.com.my/,https://www.ukmsc.com.my/specialist-1/,0,0,0,0,0,0,0,0,0,0,0,0,0
Roopi Medical Centre Sdn Bhd,0,"86, Jalan Dato Haji Eusoff, Damai Complex, 50400 Kuala Lumpur",Damai Complex,WP Kuala Lumpur,"4 Beds, 4 Bassinets",Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
KLSMC Hospital,0,"47, Jalan Dungun,Damansara Heights, 50490 Kuala Lumpur",Damansara Heights,WP Kuala Lumpur,23 Beds,-,-,-,-,23,0,0,0,0,0,0,0,0,0,0,0,0
Park City Medical Centre,RSD,"Perdana, 2, Jalan Intisari, Desa Parkcity, 52200 Kuala",Desa ParkCity,WP Kuala Lumpur,"150 Beds, 11Dialysis Chairs, 5ArmChairs, 8Baby Cots, 16 Bassinets",-,03-56391212,https://parkcitymedicalcentre.com/,https://parkcitymedicalcentre.com/find-doctor,150,8,0,16,11,0,5,0,0,0,0,0,0
HSC Medical Centre,0,"Menara HSC, 5-1, 187, Jalan Ampang, Taman U Thant,",Jalan Ampang / Menara HSC,WP Kuala Lumpur,-,,03-27870500,https://hsc.com.my/,https://hsc.com.my/doctors/,0,0,0,0,0,0,0,0,0,0,0,0,0
Roopi Medical Centre,0,"88, Jalan Datuk Haji Yussof, Pekeliling, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Jalan Dato Haji Eusoff / Damai Complex,WP Kuala Lumpur,-,,03-40423766,https://www.roopimedical.com/,https://www.roopimedical.com/about-us/,0,0,0,0,0,0,0,0,0,0,0,0,0
Damai Service Hospital (HQ),0,"109-119, 1st Mile, Jalan Sultan Azlan Shah, 51200 Kuala Lumpur",Jalan Ipoh,WP Kuala Lumpur,-,,03-40434900,https://www.dsh.com.my/,https://www.dsh.com.my/conditions-and-departments/,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourdes Medical Centre,0,"244, Jalan Sultan Azlan Shah, Jalan Ipoh, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Jalan Ipoh,WP Kuala Lumpur,-,,03-40425335,https://www.lourdes.com.my/,https://www.lourdes.com.my/our-doctors/,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Lourdes Medical Centre,0,"No. 244, Jalan Ipoh, 51200 Kuala Lumpur",Jalan Ipoh,WP Kuala Lumpur,"25 Beds, 5 Bassinets, 1 Phototherapy Cots",-,-,-,-,25,0,0,5,0,0,0,1,0,0,0,0,0
Pusat Diagnostik JantungMAA MedicareCardiac Diagnostic Centre,0,"No. 183, 4th and 5th Floor, Wisma MAA-Medicare, Jalan Ipoh, 51200 Kuala Lumpur",Jalan Ipoh,WP Kuala Lumpur,4 Beds,Single discipline: Kardiologi,-,-,-,4,0,0,0,0,0,0,0,0,0,0,0,0
Klinik Pakar Wanita Kepong Dan Pusat Bersalin,0,"No. 17, Jalan 3/34 A Kepong Entrepreneurs Park, Batu 7, Jalan Kepong, 52100 Kuala Lumpur",Jalan Kepong,WP Kuala Lumpur,4 Beds/2 Bassinets,Single discipline: O&G,-,-,-,4,0,0,2,0,0,0,0,0,0,0,0,0
Cengild G.I Medical Centre,0,"Unit 2-3 & 2-4, Nexus @ Bangsar South, No. 7, Jalan Kerinchi, 59200 Kuala Lumpur",Jalan Kerinchi,WP Kuala Lumpur,"28 Beds, 2 ArmChairs",-,-,-,-,28,0,0,0,0,0,2,0,0,0,0,0,0
Prince Court Medical Centre,0,"39, Jalan Kia Peng, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Jalan Kia Peng,WP Kuala Lumpur,"277 Beds, 5 ArmChairs, 17 Bassinets, 8 Baby Cots,21 Beds Dialisis, 4 Dental Chairs, 4 Mobile MesinDialisis",-,03-21600000,https://princecourt.com/,https://princecourt.com/doctor_category/doctors/,277,8,0,17,0,4,5,0,4,21,0,0,0
COOP Medical Centre,0,"17-19, Jalan Medan Tuanku, Kuala Lumpur, 50300 Kuala",Jalan Medan Tuanku,WP Kuala Lumpur,-,,03-26924594,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Pakar KPJ Tawakkal(KPJ Tawakkal Specialist Hospital),0,"No 1, Jalan Pahang Barat, 53000 Kuala Lumpur",Jalan Pahang Barat,WP Kuala Lumpur,225 Beds/10 Bassinets/7 Baby Cots,-,-,-,-,225,7,0,10,0,0,0,0,0,0,0,0,0
Tung Shin Hospital,0,"No 102, Jalan Pudu, 55100 Kuala Lumpur",Jalan Pudu,WP Kuala Lumpur,"225 Beds, 17Dialysis Chairs, 2 ArmChairs,8 Baby Cots, 17 Bassinets",-,03-20372288,https://www.tungshin.com.my/,https://www.tungshin.com.my/find-doctor-main,225,8,0,17,17,0,2,0,0,0,0,0,0
Damai Service Hospital (HQ) Sdn Bhd,0,"109-119 (1st Mile) Jalan Sultan Azlan Shah, 51200 Kuala Lumpur",Jalan Sultan Azlan Shah,WP Kuala Lumpur,"54 Beds, 4 Bassinets",-,-,-,-,54,0,0,4,0,0,0,0,0,0,0,0,0
Hospital PUSRAWI,0,"149, Jalan Tun Razak, Titiwangsa, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Jalan Tun Razak,WP Kuala Lumpur,-,,03-26875000,https://pusrawi.com.my/en/,https://pusrawi.com.my/en/our-specialists/,0,0,0,0,0,0,0,0,0,0,0,0,0
Institut Jantung Negara (IJN) - National Heart Institute,0,"145, Jalan Tun Razak, 50400, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Jalan Tun Razak,WP Kuala Lumpur,164 Beds/8 Baby Cots/20 Bassinets/10 Dialysis Chairs,-,03-26178200,https://www.ijn.com.my/,https://www.ijn.com.my/doctors/,164,8,0,20,10,0,0,0,0,0,0,0,0
Beverly Wilshire Medical Centre,0,"Level 6, 8 & 9, Kenanga Tower, No. 237, Jalan Tun Razak, 50400 Kuala Lumpur",Jalan Tun Razak,WP Kuala Lumpur,11 Beds,Single discipline: Pembedahan Plastik,-,-,-,11,0,0,0,0,0,0,0,0,0,0,0,0
Institut Jantung Negara,0,"145, Jalan Tun Razak, 50400 Kuala Lumpur",Jalan Tun Razak,WP Kuala Lumpur,449 Beds/6 Dialysis Chairs,-,-,-,-,449,0,0,0,6,0,0,0,0,0,0,0,0
AL-iSLAM Specialist Hospital (Hospital Pakar AL-iSLAM),0,"85, Jalan Raja Abdullah, Kampung Baru 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kampung Baru,WP Kuala Lumpur,"40 Beds, 1 Baby Cots, 4 Bassinets, 5 Dialysis Chairs,1 Dental Chairs",-,03-26931007,https://www.al-islamhospital.com/,https://www.al-islamhospital.com/doctors,40,1,0,4,5,1,0,0,0,0,0,0,0
Cardiac Vascular Sentral Kuala Lumpur,0,"Jalan Stesyen Sentral 5, Kuala Lumpur Sentral, 50470 Kuala Lumpur",Kuala Lumpur Sentral,WP Kuala Lumpur,"65 Beds, 1 Mobile Dialysis Device",-,03-22767000,https://www.cvskl.com/,https://www.cvskl.com/our-doctors/,65,0,0,0,0,0,0,0,1,0,0,0,0
UM Specialist Centre (UMSC),0,"UMSC Building, Lot 28, Lorong Universiti, Lembah Pantai, 50603 Kuala Lumpur",Lembah Pantai,WP Kuala Lumpur,-,,03-78414040,https://umsc.my/,https://umsc.my/find-a-doctor/,0,0,0,0,0,0,0,0,0,0,0,0,0
IHeal MedicalCentre Kuala Lumpur,0,"Level 7 & 8, Annexe Block, Menara IGB, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Lingkaran Syed Putra,WP Kuala Lumpur,"18 Beds, 1 Dental Chairs",-,03-22877398,https://ihealmedical.com/,https://ihealmedical.com/centre-of-excellence/,18,0,0,0,0,1,0,0,0,0,0,0,0
Global Doctors Specialist Centre (Hospital),0,"18, Jalan Kiara 3, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Mont Kiara,WP Kuala Lumpur,11 Beds,Single discipline: Pembedahan Am                        ,03-23039911,https://www.globaldoctorshospital.com/,https://www.globaldoctorshospital.com/departments/,11,0,0,0,0,0,0,0,0,0,0,0,0
Alty Hospital,0,"5-1 Menara HSC, No. 187 Jalan Ampang, 50450 WP Kuala Lumpur",No. Jalan Ampang,WP Kuala Lumpur,20 Beds,-,-,-,-,20,0,0,0,0,0,0,0,0,0,0,0,0
Sentul Medical Centre,0,"629, 631, 633 Jalan Sentul, Off Jalan Ipoh, 51000 Kuala Lumpur",Off Jalan Ipoh,WP Kuala Lumpur,"6 Beds, 4 Bassinets",Single discipline: O&G,03-40416962,-,-,6,0,0,4,0,0,0,0,0,0,0,0,0
KMI Taman Desa Medical Centre,KMI,"45, Jalan Desa, Taman Desa, Off Jalan Klang Lama, 58100 Kuala Lumpur",Off Jalan Klang Lama,WP Kuala Lumpur,39 Beds Dan 4 Bassinets,-,03-79826500,https://kmihealthcare.com/en/kmitamandesa,https://kmihealthcare.com/en/kmitamandesa/doctors,39,0,0,4,0,0,0,0,0,0,0,0,0
Chaudhury Medic Centre,0,"No 15, Jalan 5/65C, Off Jalan Pahang Barat, Pekeliling Business Centre, 53000 Kuala Lumpur",Pekeliling Business Centre,WP Kuala Lumpur,4 Beds / 4 Bassinets,Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
Pudu Specialists' Centre Sdn Bhd,-,"20-26 Jalan Baba, Pudu, 55100 Kuala Lumpur",Pudu,WP Kuala Lumpur,12 Beds Dan 1 Bassinets,-,-,-,-,12,0,0,1,0,0,0,0,0,0,0,0,0
Hospital Wanita & Kanak-Kanak Naluri Sdn. Bhd.,Pusat Perubatan Naluri,"94, Jalan 1/27f, Pusat Bandar Wangsa Maju, 53300 Kuala Lumpur",Pusat Bandar Wangsa Maju,WP Kuala Lumpur,11 Beds/4 Baby Cots,-,-,-,-,11,4,0,0,0,0,0,0,0,0,0,0,0
Ohana Specialist Hospital,-,"No. 9, 11, 13-1 & 13-2 JalanSeri Rejang, Rampai Business Park South, 53300 Kuala Lumpur",Rampai Business Park South,WP Kuala Lumpur,"18 Beds, 16 Bassinets, 2 Baby Cots",-,-,-,-,18,2,0,16,0,0,0,0,0,0,0,0,0
