Name,Link,Speciality Title,Speciality Appointment,Designation,Qualification,link,hospital
Dr. Norhafizah Binti Ehsan,doctors/dr.-norhafizah-binti-ehsan,,,Consultant Interventional Radiologist (Visiting),"MD (UKM), Doctor of Radiology (UKM), Fellowship in Interventional Radiology (UKM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Nur Aqilah Binti Salleh,doctors/dr.-nur-aqilah-binti-salleh,Ophthalmology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=515954434842&searchPhyAndSpec=Dr. Nur Aqilah Binti Salleh&hcsType=Specialty,Consultant Ophthalmologist (Visiting),"MD (UKM), Doctor of Ophthalmology (UKM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Poh Siong Wi,doctors/dr.-poh-siong-wi,Internal Medicine and Nephrology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=457860801232&searchPhyAndSpec=Dr. Poh Siong Wi&hcsType=Specialty,Consultant Internal Medicine Physician & Nephrologist,MRCP (UK),/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Quek Yek Song,doctors/dr.-quek-yek-song,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=937&searchPhyAndSpec=Dr. Quek Yek Song&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MD (Unimas), M Obs & Gyn (UM), AM (Malaysia), Special Interest in Cosmetic Gynecology",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Rajesh Mahendran A/L Radha Krishnan,doctors/dr.-rajesh-mahendran-a~l-radha-krishnan,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=860&searchPhyAndSpec=Dr. Rajesh Mahendran A%252FL Radha Krishnan&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MBBS (India), M.Med. O&G (UKM), AM (Mal), FICS (USA), Certificate in Minimally Invasive Surgery",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Razlina Johari,doctors/dr.-razlina-johari,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=880&searchPhyAndSpec=Dr. Razlina Johari&hcsType=Specialty,Consultant Pediatrician,"MBBS (UM), MRCPCH(UK)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Rohaini Md Jonit,doctors/dr.-rohaini-md-jonit,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=889&searchPhyAndSpec=Dr. Rohaini Md Jonit&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MD (UKM), MOG (UKM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Rohana Bt Ahmad,doctors/dr.-rohana-bt-ahmad,General Surgery Breast and Endocrine Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=894&searchPhyAndSpec=Dr. Rohana Bt Ahmad&hcsType=Specialty,"Consultant General, Breast & Endocrine Surgeon","MBBS (UKM), MS (SURGERY) (UKM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Shanthi A/P Subramaniam,doctors/dr.-shanthi-a~p-subramaniam,Ophthalmology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=888&searchPhyAndSpec=Dr. Shanthi A%252FP Subramaniam&hcsType=Specialty,Consultant Ophthalmologist (Visiting),"MB.BCh.BAO (Dublin), MS Ophthal (Mal), FRCS (Glasgow)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Siti Fareeda Binti Ahmad Nor @ Anuar,doctors/dr.-siti-fareeda-binti-ahmad-nor-@-anuar,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=516069469721&searchPhyAndSpec=Dr. Siti Fareeda Binti Ahmad Nor @ Anuar&hcsType=Specialty,Consultant General Surgeon,"MBBS (UM), MS (General Surgery) (UKM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Sivakumar Thurairajasingam,doctors/dr.-sivakumar-thurairajasingam,Psychiatry,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=871&searchPhyAndSpec=Dr. Sivakumar Thurairajasingam&hcsType=Specialty,Consultant Psychiatrist (Visiting),"MBBS (India), M.Med (Psychiatry) (USM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Sri Kavi Subramaniam,doctors/dr.-sri-kavi-subramaniam,,,Consultant Pediatric Dentist (Visiting),"BDS (Indonesia), MFDSRCS (Edinburgh), MClinDent Paediatric Dentistry (UK), PgDip (ADV. CLIN. PAED DENT), MPaedDent RCS (UK), MPaedDent RCS (Edinburgh)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Sumitra Pathmanathan,doctors/dr.-sumitra-pathmanathan,,,Consultant Anesthesiologist,"M.B.,Ch.B (Egypt), M.Med. Anaes (UM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Sundrarajan Naidu Ramasamy,doctors/dr.-sundrarajan-naidu-ramasamy,,,Consultant Oral & Maxillofacial Surgeon,"DDS (UKM), MClinDent (OMFS) (UM), AM (Malaysia)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Syahrul Sazliyana Shaharir,doctors/dr.-syahrul-sazliyana-shaharir,Internal Medicine and Rheumatology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=3425&searchPhyAndSpec=Dr. Syahrul Sazliyana Shaharir&hcsType=Specialty,Consultant Internal Medicine Physician & Rheumatologist (Visiting),"MD (UKM), MRCP (UK), MMed (Internal Medicine) (UKM), Fellowship in Rheumatology (Malaysia)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Tee Shin Kuan,doctors/dr.-tee-shin-kuan,Internal Medicine and Nephrology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=3500&searchPhyAndSpec=Dr. Tee Shin Kuan&hcsType=Specialty,Consultant Internal Medicine Physician & Nephrologist,"MBBS (UM), MRCP (UK)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Teo Pock Chin,doctors/dr.-teo-pock-chin,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=873&searchPhyAndSpec=Dr. Teo Pock Chin&hcsType=Specialty,Consultant Orthopedic Surgeon (Visiting),"MD (UKM), Doctor of Orthopedic & Traumatology (UKM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Victor Gong Hee Hung,doctors/dr.-victor-gong-hee-hung,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=993&searchPhyAndSpec=Dr. Victor Gong Hee Hung&hcsType=Specialty,Consultant Pediatrician,"MBBS (India), MRCPCH (UK)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Yeoh Aik Guan,doctors/dr.-yeoh-aik-guan,,,Consultant Radiologist,"MBBS (UM), FRCR (UK), MMed (Diagnostic Radiology) (Singapore)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Yoga Raj,doctors/dr.-yoga-raj,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=861&searchPhyAndSpec=Dr. Yoga Raj&hcsType=Specialty,Consultant Orthopedic Surgeon,"MBBS (UM), M Orthopedic Surgery (UM), MMed (Science) (New Zealand), Fellowship in Joint Arthroplasty (Malaysia)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Zulkarnain Hasan,doctors/dr.-zulkarnain-hasan,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=867&searchPhyAndSpec=Dr. Zulkarnain Hasan&hcsType=Specialty,Consultant General Surgeon,"MD (USM), AFRCS (Ire), M.Med. Surgery (USM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Ahmad Zaidi Bin Zainal,doctors/dr.-ahmad-zaidi-bin-zainal,,,Chief Medical Officer,MD (UGM),/malaysia/hospitals/klang/doctors,klang
Dr. Ainil Hawa Binti Ibrahim,doctors/dr.-ainil-hawa-binti-ibrahim,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=4012&searchPhyAndSpec=Dr. Ainil Hawa Binti Ibrahim&hcsType=Specialty,Consultant Rehabilitation Physician (Visiting),"MBBS (Australia), M Rehabilitation Medicine (UM)",/malaysia/hospitals/klang/doctors,klang
Dr. Anand Chandrasegaran,doctors/dr.-anand-chandrasegaran,,,Consultant Anesthesiologist,"MBBS (UM), M Anaes (UM)",/malaysia/hospitals/klang/doctors,klang
Dr. Ang Hock Leong,doctors/dr.-ang-hock-leong,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=325&searchPhyAndSpec=Dr. Ang Hock Leong&hcsType=Specialty,"Consultant Orthopedic, Trauma & Joint Replacement Surgeon","MBBCh BAO (Ireland), MS (Orthopedics) (UKM), Fellowship in Adult Joint Reconstruction (Singapore)",/malaysia/hospitals/klang/doctors,klang
Dr. Annie Liau Fui Vun,doctors/dr.-annie-liau-fui-vun,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=517829067538&searchPhyAndSpec=Dr. Annie Liau Fui Vun&hcsType=Specialty,Consultant Pediatrician (Visiting),"MD (Canada), MRCPCH (UK), Special Interest in Autism Spectrum Disorder",/malaysia/hospitals/klang/doctors,klang
Dr. Azril Syazwan Bin Mohd Ali,doctors/dr.-azril-syazwan-bin-mohd-ali,Sports Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=438894772994&searchPhyAndSpec=Dr. Azril Syazwan Bin Mohd Ali&hcsType=Specialty,Consultant Sports Physician (Visiting),"BSc (Medicine Science) (UPM), MD (UPM), M Sports Medicine (UM)",/malaysia/hospitals/klang/doctors,klang
Dr. Ding Sook Ling,doctors/dr.-ding-sook-ling,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=680&searchPhyAndSpec=Dr. Ding Sook Ling&hcsType=Specialty,Consultant Pediatrician,"MBBS (India), MRCPCH (UK), MMed (Pediatrics)(Singapore)",/malaysia/hospitals/klang/doctors,klang
Dr. Gew Lai Teck,doctors/dr.-gew-lai-teck,Internal Medicine and Gastroenterology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=3658&searchPhyAndSpec=Dr. Gew Lai Teck&hcsType=Specialty,Consultant Internal Medicine Physician & Gastroenterologist & Hepatologist (Visiting),"MRCP (UK), Fellowship in Advanced Endoscopy (Australia), Fellowship in Gastroenterology & Hepatology (Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dr. Habibah Binti Abdul Halim,doctors/dr.-habibah-binti-abdul-halim,Internal Medicine and Hematology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=956&searchPhyAndSpec=Dr. Habibah Binti Abdul Halim&hcsType=Specialty,Consultant Internal Medicine Physician & Hematologist,"BA (UK), MA (UK), MBBCh (UK), MRCP (UK), FRCPATH (Hematology)(UK), Fellowship in Hematology (Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dr. Hasnur Zaman Bin Hashim,doctors/dr.-hasnur-zaman-bin-hashim,Internal Medicine and Neurology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=679&searchPhyAndSpec=Dr. Hasnur Zaman Bin Hashim&hcsType=Specialty,Consultant Internal Medicine Physician & Neurologist,"MBBS (IIUM), MRCP (UK), MMed (Internal Medicine)(UKM), MSc (Clinical Neurology)(UK), Fellowship in Neurology (Malaysia), FRCP (Edinburgh)",/malaysia/hospitals/klang/doctors,klang
Dr. Jayendran Dharmaratnam,doctors/dr.-jayendran-dharmaratnam,Oncology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=435&searchPhyAndSpec=Dr. Jayendran Dharmaratnam&hcsType=Specialty,Consultant Clinical Oncologist,"MBBS (India), FFR.RCSI (Radiotherapy) (Ireland)",/malaysia/hospitals/klang/doctors,klang
Dr. Jeyasilan A/L Karpudewan,doctors/dr.-jeyasilan-a~l-karpudewan,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=516218083296&searchPhyAndSpec=Dr. Jeyasilan A%252FL Karpudewan&hcsType=Specialty,"Consultant Orthopedic, Hand & Micro Surgeon (Visiting)","MBBS (India), MMed (Orhtopedic)(USM), Fellowship in Upper Limb & Microsurgery (Malaysia), Fellowship in Wrist Surgery and Upper Limb Arthroscopy (Argentina & USA)",/malaysia/hospitals/klang/doctors,klang
Dr. Kananathan A/L Ratnavelu,doctors/dr.-kananathan-a~l-ratnavelu,Oncology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=4237&searchPhyAndSpec=Dr. Kananathan A%252FL Ratnavelu&hcsType=Specialty,Consultant Medical Oncologist,"MBBS (UM), FRCP (Ireland), AM (Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dr. Khairiah Binti Seman,doctors/dr.-khairiah-binti-seman,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=2917&searchPhyAndSpec=Dr. Khairiah Binti Seman&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MBBS (Australia), MMed (Obs & Gyn)(USM)",/malaysia/hospitals/klang/doctors,klang
Dr. Kiran Kaur D/O Amer Singh,doctors/dr.-kiran-kaur--d~o--amer-singh,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=299&searchPhyAndSpec=Dr. Kiran Kaur  D%252FO  Amer Singh&hcsType=Specialty,Consultant General Surgeon,"BSc (Hons) (Biomedicine) (UPM), MD (UPM), M Surgery (UM), Special Interest In Breast Surgery",/malaysia/hospitals/klang/doctors,klang
Dr. Laxmanshri Jaya A/L Prahaspathiji,doctors/dr.-laxmanshri-jaya-a~l-prahaspathiji,Radiology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=2717&searchPhyAndSpec=Dr. Laxmanshri Jaya A%252FL Prahaspathiji&hcsType=Specialty,Consultant Radiologist,"MBBS (India), Doctor of Radiology (UKM), Fellowship in Musculoskeletal Radiology (Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dr. Lim Kean Meng,doctors/dr.-lim-kean-meng,Ear Nose and Throat,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=662&searchPhyAndSpec=Dr. Lim Kean Meng&hcsType=Specialty,Consultant ENT Surgeon,"MD (Unimas), MMed (ORL-HNS)(USM), FICS (US), AM (Mal), CMIA (NIOSH)",/malaysia/hospitals/klang/doctors,klang
Dr. Logavani Nadarajah,doctors/dr.-logavani-nadarajah,General Practice,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=673&searchPhyAndSpec=Dr. Logavani Nadarajah&hcsType=Specialty,Medical Officer,MD (USU),/malaysia/hospitals/klang/doctors,klang
Dr. Low Chin Aun,doctors/dr.-low-chin-aun,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=527574500376&searchPhyAndSpec=Dr. Low Chin Aun&hcsType=Specialty,Consultant Orthopedic Surgeon (Visiting),"MBBS (India), MRCS (Edinburgh), M Orthopedic Surgery (UM), CMIA (NIOSH)",/malaysia/hospitals/klang/doctors,klang
Dr. Md Hamsan Bin Abdul Wahab,doctors/dr.-md-hamsan-bin-abdul-wahab,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=2976&searchPhyAndSpec=Dr. Md Hamsan Bin Abdul Wahab&hcsType=Specialty,Consultant General Surgeon,"MBBCh BAO (Ireland), MRCS (UK), MS (General Surgery)(UKM)",/malaysia/hospitals/klang/doctors,klang
Dr. Meera A/P Kuppusamy,doctors/dr.-meera-a~p-kuppusamy,Dermatology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=3644&searchPhyAndSpec=Dr. Meera A%252FP Kuppusamy&hcsType=Specialty,Consultant Dermatologist,"MBBS (IMU), MRCP (UK), Advanced Master in Dermatology (UKM)",/malaysia/hospitals/klang/doctors,klang
Dr. Muhamad Yazli Bin Yuhana,doctors/dr.-muhamad-yazli-bin-yuhana,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=3714&searchPhyAndSpec=Dr. Muhamad Yazli Bin Yuhana&hcsType=Specialty,Consultant Internal Medicine Physician (Visiting),"MBBCh BAO (Ireland), LRCPI & SI (Ireland), Master of Internal Medicine (UM)",/malaysia/hospitals/klang/doctors,klang
Dr. Muhammad Ilham Bin Abdul Hafidz,doctors/dr.-muhammad-ilham-bin-abdul-hafidz,Gastroenterology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=478552134729&searchPhyAndSpec=Dr. Muhammad Ilham Bin Abdul Hafidz&hcsType=Specialty,Consultant Gastroenterologist & Hepatologist (Visiting),"MBChB (UK), MRCP (UK)",/malaysia/hospitals/klang/doctors,klang
Dr. Navin Francis A/L Susinadan,doctors/dr.-navin-francis-a~l-susinadan,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=4067&searchPhyAndSpec=Dr. Navin Francis A%252FL Susinadan&hcsType=Specialty,Consultant Palliative Care Physician (Visiting),"MMed (Internal Medicine)(UM), Fellowship in Training in Palliative Care Medicine (Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dr. Norni Binti Abdullah,doctors/dr.-norni-binti-abdullah,Psychiatry,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=4021&searchPhyAndSpec=Dr. Norni Binti Abdullah&hcsType=Specialty,Consultant Psychiatrist (Visiting),"MD (UKM), MMed (Psychiatry) (UKM), Diploma in Addiction (UK), Fellowship in Addiction Psychiatry (Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dr. Phang Yuk Jean,doctors/dr.-phang-yuk-jean,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=663&searchPhyAndSpec=Dr. Phang Yuk Jean&hcsType=Specialty,Consultant Pediatrician,"MBBS (India), M Paeds(UM)",/malaysia/hospitals/klang/doctors,klang
Dr. Priya Gill,doctors/dr.-priya-gill,Dermatology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=128&searchPhyAndSpec=Dr. Priya Gill&hcsType=Specialty,Consultant Dermatologist (Visiting),"MBCHB (Ireland), MRCP (UK), Adv. Master in Dermatology (UKM), Diploma In Aesthetic Medicine (AAAM)",/malaysia/hospitals/klang/doctors,klang
Dr. Ronny Arul A/L Arumugam,doctors/dr.-ronny-arul-a~l-arumugam,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=452786326343&searchPhyAndSpec=Dr. Ronny Arul A%252FL Arumugam&hcsType=Specialty,Consultant Orthopedic Surgeon,"MBBS (India), Doctor of Orthopedic & Traumatology (UKM)",/malaysia/hospitals/klang/doctors,klang
Dr. Rosliza Ghazali,doctors/dr.-rosliza-ghazali,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=664&searchPhyAndSpec=Dr. Rosliza Ghazali&hcsType=Specialty,Consultant General Surgeon,"MBBCh (UK), MS (General Surgery)(UKM), AM (Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dr. Shahrul Zuraidi Bin Idris,doctors/dr.-shahrul-zuraidi-bin-idris,Internal Medicine and Cardiology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=329&searchPhyAndSpec=Dr. Shahrul Zuraidi Bin Idris&hcsType=Specialty,"Chief Of Medical Services, Consultant Internal Medicine Physician & Interventional Cardiologist","MBBCh BAO (Ireland), MRCP (UK), AM (Malaysia), FNHAM",/malaysia/hospitals/klang/doctors,klang
Dr. Sharifah Faradila Binti Wan Muhamad Hatta,doctors/dr.-sharifah-faradila-binti-wan-muhamad-hatta,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=3995&searchPhyAndSpec=Dr. Sharifah Faradila Binti Wan Muhamad Hatta&hcsType=Specialty,Consultant Internal Medicine Physician & Endocrinologist (Visiting),"MBBCh BAO (Ireland), MRCP (UK), M Internal Medicine (UM)",/malaysia/hospitals/klang/doctors,klang
Dr. Sidik Che Kob,doctors/dr.-sidik-che-kob,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=331&searchPhyAndSpec=Dr. Sidik Che Kob&hcsType=Specialty,"Consultant Orthopedic, Trauma & Arthroscopy Sports Surgeon","MBBS (Pakistan), MMed (Orthopedic) (USM), Fellowship in Arthroscopy Knee & Shoulder Surgery (Austria), Sport Surgery (Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dr. Siti Suriyati Binti Buang,doctors/dr.-siti-suriyati-binti-buang,Neurosurgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=696&searchPhyAndSpec=Dr. Siti Suriyati Binti Buang&hcsType=Specialty,Consultant Neurosurgeon (Visiting),"MBBS (UM), MMed (Neurosurgery)(USM)",/malaysia/hospitals/klang/doctors,klang
Dr. Siva Kumar Sundralingam,doctors/dr.-siva-kumar-sundralingam,Ophthalmology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=665&searchPhyAndSpec=Dr. Siva Kumar Sundralingam&hcsType=Specialty,Consultant Ophthalmologist,"MBBS (India), M.Ophthal (UM)",/malaysia/hospitals/klang/doctors,klang
Dr. Suresh Sabaratnam A/L Sachi Sabaratnam,doctors/dr.-suresh-sabaratnam-a~l-sachi-sabaratnam,Urology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=2960&searchPhyAndSpec=Dr. Suresh Sabaratnam A%252FL Sachi Sabaratnam&hcsType=Specialty,Consultant Urologist (Visiting),"MBBS (India), FRCS (Ireland), FRCS (Glasgow), FRCS (Urology)(Glasgow), Board Certified Urologist (Malaysia), Fellowship Uro – Oncology (Australia)",/malaysia/hospitals/klang/doctors,klang
Dr. T Kalaiselvam A/L Thevandran,doctors/dr.-t-kalaiselvam-a~l-thevandran,Internal Medicine and Nephrology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=349&searchPhyAndSpec=Dr. T Kalaiselvam A%252FL Thevandran&hcsType=Specialty,Consultant Internal Medicine Physician & Nephrologist,"BSc (Medical Science)(UPM), MD (UPM), MRCP (UK), ISN - ANIO Nephropathology Certificate (USA), MSN Board Certified Nephrologist (Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dr. Tan Ru Wei,doctors/dr.-tan-ru-wei,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=2724&searchPhyAndSpec=Dr. Tan Ru Wei&hcsType=Specialty,Consultant Pediatrician,"MBBS (IMU), MRCPCH (UK), Pediatrics Bioethics (USA), PGCert Leadership in Medicine (Harvard, USA)",/malaysia/hospitals/klang/doctors,klang
Dr. Thiagarajan Chidambaram,doctors/dr.-thiagarajan-chidambaram,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=674&searchPhyAndSpec=Dr. Thiagarajan Chidambaram&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MBBCh BAO (Ireland), MRCPI (Ireland), MRCOG (UK)",/malaysia/hospitals/klang/doctors,klang
Dr. Yip Keng Fai,doctors/dr.-yip-keng-fai,,,Consultant Anesthesiologist,"MBBS (IMU), MMed Anest (UM), AM (Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dr. Yip Khar Weng,doctors/dr.-yip-khar-weng,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=16&searchLocation=Klang&phyID=333&searchPhyAndSpec=Dr. Yip Khar Weng&hcsType=Specialty,Consultant Obstetrician & Gynecologist (Visiting),"MBBS (UM), MRCOG (UK), Fellowship in Maternal Fetal Medicine (Hong Kong & Malaysia)",/malaysia/hospitals/klang/doctors,klang
Dato Dr. Philip Raja,doctors/dato-dr.-philip-raja,Pediatrics,"https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=
10&searchLocation=Miri&phyID=406&searchPhyAndSpec=Dato Dr. Philip Raja&hcsType=Specialty",Consultant Pediatrician & Pediatric Cardiologist,"M.D (M'sia) M.R.C.P (UK), D.C.H (Glasgow), F.R. Cardio (Sydney), A.M (Mal)",/malaysia/hospitals/miri/doctors,miri
Dr. Afif Bin Zainal Abidin,doctors/dr.-afif-bin-zainal-abidin,,,Medical Officer,"M.B. BCH, BAO (HONS) (Ireland)",/malaysia/hospitals/miri/doctors,miri
Dr. Charanjit Singh Grover,doctors/dr.-charanjit-singh-grover,Internal Medicine,"https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=
10&searchLocation=Miri&phyID=418&searchPhyAndSpec=Dr. Charanjit Singh Grover&hcsType=Specialty",Consultant Internal Medicine Physician,"M.B.B.S, M.D. Internal Medicine",/malaysia/hospitals/miri/doctors,miri
Dr. Chong Ket Cheong,doctors/dr.-chong-ket-cheong,,,Chief Medical Officer,"MBBS (Mal), Occupational Health Doctor (NIOSH)",/malaysia/hospitals/miri/doctors,miri
